mode,N,ns,launch,tk_ms,tk_iqr,te_ms,te_iqr,Mroot_s,det,relerr_p50,relerr_p99
# N=16384 非饱和
G3,16384,8,1,0.10205,0.00077,0.11040,0.00071,160.552,1,1.958e-11,2.643e-03
G2,16384,8,1,0.10256,0.00131,0.11083,0.00113,159.750,1,1.956e-11,2.643e-03
# REP=256 N=4.19M 饱和
G3,4194304,8,1,10.66070,0.00141,10.66974,0.00099,393.436,1,1.958e-11,2.717e-03
G2,4194304,8,1,10.60506,0.00227,10.61386,0.00238,395.500,1,1.956e-11,2.717e-03
G4,4194304,8,1,11.40426,0.02646,11.41347,0.02666,367.784,1,1.353e-09,2.788e-03
G5,4194304,8,1,0.15002,0.00125,0.15924,0.00123,27959.045,1,1.973e-05,1.518e+00
